version,N,trial,reps,kernel_ms
scalar,1001,9,49950,0.004653
vector,1001,9,49950,0.000770
vector,1001,10,49950,0.000796
scalar,1001,10,49950,0.004597
scalar,1024,1,48828,0.004876
vector,1024,1,48828,0.000811
vector,1024,2,48828,0.000819
scalar,1024,2,48828,0.004801
scalar,1024,3,48828,0.004858
vector,1024,3,48828,0.000885
vector,1024,4,48828,0.000880
scalar,1024,4,48828,0.004782
scalar,1024,5,48828,0.004832
vector,1024,5,48828,0.000846
vector,1024,6,48828,0.000831
scalar,1024,6,48828,0.004912
scalar,1024,7,48828,0.004809
vector,1024,7,48828,0.000781
vector,1024,8,48828,0.000794
scalar,1024,8,48828,0.004789
scalar,1024,9,48828,0.004775
vector,1024,9,48828,0.000816
vector,1024,10,48828,0.000811
scalar,1024,10,48828,0.004706
scalar,2048,1,24414,0.009742
vector,2048,1,24414,0.001651
vector,2048,2,24414,0.001666
scalar,2048,2,24414,0.009508
scalar,2048,3,24414,0.009562
vector,2048,3,24414,0.001597
vector,2048,4,24414,0.001606
scalar,2048,4,24414,0.009564
scalar,2048,5,24414,0.009763
vector,2048,5,24414,0.001612
vector,2048,6,24414,0.001667
scalar,2048,6,24414,0.009793
scalar,2048,7,24414,0.009884
vector,2048,7,24414,0.001662
vector,2048,8,24414,0.001685
scalar,2048,8,24414,0.009447
scalar,2048,9,24414,0.009740
vector,2048,9,24414,0.001646
vector,2048,10,24414,0.001645
scalar,2048,10,24414,0.009847
scalar,4096,1,12207,0.019292
vector,4096,1,12207,0.003313
vector,4096,2,12207,0.003274
scalar,4096,2,12207,0.019204
scalar,4096,3,12207,0.019410
vector,4096,3,12207,0.003298
vector,4096,4,12207,0.003429
scalar,4096,4,12207,0.019931
scalar,4096,5,12207,0.019931
vector,4096,5,12207,0.003401
vector,4096,6,12207,0.003547
scalar,4096,6,12207,0.019389
scalar,4096,7,12207,0.019395
vector,4096,7,12207,0.003461
vector,4096,8,12207,0.003492
scalar,4096,8,12207,0.019534
scalar,4096,9,12207,0.019608
vector,4096,9,12207,0.003436
vector,4096,10,12207,0.003443
scalar,4096,10,12207,0.020305
scalar,8192,1,6103,0.038794
vector,8192,1,6103,0.007250
vector,8192,2,6103,0.006757
scalar,8192,2,6103,0.038723
scalar,8192,3,6103,0.038754
vector,8192,3,6103,0.007167
vector,8192,4,6103,0.007152
scalar,8192,4,6103,0.039162
scalar,8192,5,6103,0.039253
vector,8192,5,6103,0.006518
vector,8192,6,6103,0.006681
scalar,8192,6,6103,0.037778
scalar,8192,7,6103,0.038080
vector,8192,7,6103,0.006639
vector,8192,8,6103,0.006713
scalar,8192,8,6103,0.038425
scalar,8192,9,6103,0.040007
vector,8192,9,6103,0.007066
vector,8192,10,6103,0.007071
scalar,8192,10,6103,0.039120
scalar,10000,1,5000,0.045891
vector,10000,1,5000,0.008328
vector,10000,2,5000,0.008053
scalar,10000,2,5000,0.046301
scalar,10000,3,5000,0.047402
vector,10000,3,5000,0.008605
vector,10000,4,5000,0.008691
scalar,10000,4,5000,0.048213
scalar,10000,5,5000,0.046286
vector,10000,5,5000,0.008054
vector,10000,6,5000,0.008164
scalar,10000,6,5000,0.046016
scalar,10000,7,5000,0.046258
vector,10000,7,5000,0.008185
vector,10000,8,5000,0.008076
scalar,10000,8,5000,0.047964
scalar,10000,9,5000,0.047685
vector,10000,9,5000,0.009056
vector,10000,10,5000,0.008538
scalar,10000,10,5000,0.046379
scalar,16384,1,3051,0.076358
vector,16384,1,3051,0.013081
vector,16384,2,3051,0.013634
scalar,16384,2,3051,0.079356
scalar,16384,3,3051,0.080184
vector,16384,3,3051,0.014046
vector,16384,4,3051,0.014563
scalar,16384,4,3051,0.077389
scalar,16384,5,3051,0.076747
vector,16384,5,3051,0.013403
vector,16384,6,3051,0.013661
scalar,16384,6,3051,0.077380
scalar,16384,7,3051,0.077075
vector,16384,7,3051,0.013645
vector,16384,8,3051,0.014897
scalar,16384,8,3051,0.078627
scalar,16384,9,3051,0.078984
vector,16384,9,3051,0.013614
vector,16384,10,3051,0.013981
scalar,16384,10,3051,0.077096
scalar,32768,1,1525,0.153255
vector,32768,1,1525,0.027779
vector,32768,2,1525,0.028471
scalar,32768,2,1525,0.158523
scalar,32768,3,1525,0.157720
vector,32768,3,1525,0.027181
vector,32768,4,1525,0.027813
scalar,32768,4,1525,0.153185
scalar,32768,5,1525,0.154525
vector,32768,5,1525,0.028010
vector,32768,6,1525,0.028453
scalar,32768,6,1525,0.153344
scalar,32768,7,1525,0.158003
vector,32768,7,1525,0.028782
vector,32768,8,1525,0.028812
scalar,32768,8,1525,0.156125
scalar,32768,9,1525,0.153740
vector,32768,9,1525,0.027317
vector,32768,10,1525,0.028497
scalar,32768,10,1525,0.153818
scalar,65536,1,762,0.318448
vector,65536,1,762,0.055694
vector,65536,2,762,0.063546
scalar,65536,2,762,0.316340
scalar,65536,3,762,0.312354
vector,65536,3,762,0.054539
vector,65536,4,762,0.058464
scalar,65536,4,762,0.300761
scalar,65536,5,762,0.309666
vector,65536,5,762,0.054468
vector,65536,6,762,0.053695
scalar,65536,6,762,0.309308
scalar,65536,7,762,0.323451
vector,65536,7,762,0.056677
vector,65536,8,762,0.060915
scalar,65536,8,762,0.314225
scalar,65536,9,762,0.306866
vector,65536,9,762,0.054262
vector,65536,10,762,0.054869
scalar,65536,10,762,0.306277
scalar,100000,1,500,0.517518
vector,100000,1,500,0.093630
vector,100000,2,500,0.100702
scalar,100000,2,500,0.471905
scalar,100000,3,500,0.471816
vector,100000,3,500,0.082409
vector,100000,4,500,0.083153
scalar,100000,4,500,0.463750
scalar,100000,5,500,0.470572
vector,100000,5,500,0.087621
vector,100000,6,500,0.093364
scalar,100000,6,500,0.498339
scalar,100000,7,500,0.512341
vector,100000,7,500,0.080153
vector,100000,8,500,0.088127
scalar,100000,8,500,0.464863
scalar,100000,9,500,0.476284
vector,100000,9,500,0.079846
vector,100000,10,500,0.083392
scalar,100000,10,500,0.465600
scalar,131072,1,381,0.641505
vector,131072,1,381,0.118930
vector,131072,2,381,0.111194
scalar,131072,2,381,0.606852
scalar,131072,3,381,0.618152
vector,131072,3,381,0.105872
vector,131072,4,381,0.107459
scalar,131072,4,381,0.622410
scalar,131072,5,381,0.686647
vector,131072,5,381,0.114028
vector,131072,6,381,0.116594
scalar,131072,6,381,0.652712
scalar,131072,7,381,0.616858
vector,131072,7,381,0.105768
vector,131072,8,381,0.110292
scalar,131072,8,381,0.617879
scalar,131072,9,381,0.616426
vector,131072,9,381,0.109139
vector,131072,10,381,0.115845
scalar,131072,10,381,0.673765
scalar,262144,1,190,1.233708
vector,262144,1,190,0.240159
vector,262144,2,190,0.239550
scalar,262144,2,190,1.296614
scalar,262144,3,190,1.275511
vector,262144,3,190,0.294414
vector,262144,4,190,0.318496
scalar,262144,4,190,1.382892
scalar,262144,5,190,1.364338
vector,262144,5,190,0.230619
vector,262144,6,190,0.235844
scalar,262144,6,190,1.307146
scalar,262144,7,190,1.283043
vector,262144,7,190,0.255665
vector,262144,8,190,0.236734
scalar,262144,8,190,1.375983
scalar,262144,9,190,1.429374
vector,262144,9,190,0.278603
vector,262144,10,190,0.267462
scalar,262144,10,190,1.257326
scalar,524288,1,95,2.572846
vector,524288,1,95,0.557594
vector,524288,2,95,0.569687
scalar,524288,2,95,2.936025
scalar,524288,3,95,2.956200
vector,524288,3,95,0.491593
vector,524288,4,95,0.594322
scalar,524288,4,95,2.572890
scalar,524288,5,95,2.550312
vector,524288,5,95,0.550328
vector,524288,6,95,0.557104
scalar,524288,6,95,2.641560
scalar,524288,7,95,3.021562
vector,524288,7,95,0.848820
vector,524288,8,95,0.739232
scalar,524288,8,95,2.639649
scalar,524288,9,95,2.608755
vector,524288,9,95,0.608591
vector,524288,10,95,0.596675
scalar,524288,10,95,2.604803
scalar,1000000,1,50,5.383732
vector,1000000,1,50,1.380499
vector,1000000,2,50,1.538729
scalar,1000000,2,50,4.994367
scalar,1000000,3,50,5.037068
vector,1000000,3,50,1.318167
vector,1000000,4,50,1.636650
scalar,1000000,4,50,5.563049
scalar,1000000,5,50,5.470850
vector,1000000,5,50,1.383898
vector,1000000,6,50,1.474649
scalar,1000000,6,50,5.046079
scalar,1000000,7,50,4.953465
vector,1000000,7,50,1.379942
vector,1000000,8,50,1.547952
scalar,1000000,8,50,5.721102
scalar,1000000,9,50,5.855650
vector,1000000,9,50,1.650332
vector,1000000,10,50,1.433123
scalar,1000000,10,50,5.003655
scalar,2097152,1,23,11.771850
vector,2097152,1,23,4.518901
vector,2097152,2,23,5.099608
scalar,2097152,2,23,10.702681
scalar,2097152,3,23,10.806617
vector,2097152,3,23,3.745092
vector,2097152,4,23,3.662786
scalar,2097152,4,23,10.604781
scalar,2097152,5,23,11.748859
vector,2097152,5,23,4.524304
vector,2097152,6,23,5.083717
scalar,2097152,6,23,10.781752
scalar,2097152,7,23,10.688682
vector,2097152,7,23,3.604765
vector,2097152,8,23,3.836400
scalar,2097152,8,23,10.931741
scalar,2097152,9,23,12.159314
vector,2097152,9,23,4.511727
vector,2097152,10,23,4.109473
scalar,2097152,10,23,10.664872
scalar,4194304,1,11,22.249753
vector,4194304,1,11,9.171942
vector,4194304,2,11,10.123845
scalar,4194304,2,11,22.539679
scalar,4194304,3,11,21.523926
vector,4194304,3,11,7.097926
vector,4194304,4,11,7.509426
scalar,4194304,4,11,21.583283
scalar,4194304,5,11,23.713141
