version;N;trial;reps;kernel_ms
vector;262144;4;190;0,700846
scalar;262144;4;190;2,252582
scalar;262144;5;190;1,553392
vector;262144;5;190;0,236100
vector;262144;6;190;0,444967
scalar;262144;6;190;1,686873
scalar;262144;7;190;1,296298
vector;262144;7;190;0,250971
vector;262144;8;190;0,352579
scalar;262144;8;190;2,244550
scalar;262144;9;190;1,621554
vector;262144;9;190;0,233467
vector;262144;10;190;0,637508
scalar;262144;10;190;1,696217
scalar;524288;1;95;3,739379
vector;524288;1;95;0,494544
vector;524288;2;95;0,628690
scalar;524288;2;95;2,549604
scalar;524288;3;95;3,787661
vector;524288;3;95;0,653142
vector;524288;4;95;2,071718
scalar;524288;4;95;3,953019
scalar;524288;5;95;2,538801
vector;524288;5;95;0,534355
vector;524288;6;95;0,583726
scalar;524288;6;95;3,529668
scalar;524288;7;95;4,198008
vector;524288;7;95;0,902277
vector;524288;8;95;1,188698
scalar;524288;8;95;4,032743
scalar;524288;9;95;3,800614
vector;524288;9;95;0,635305
vector;524288;10;95;1,100203
scalar;524288;10;95;3,516542
scalar;1000000;1;50;7,279107
vector;1000000;1;50;1,590248
vector;1000000;2;50;3,941464
scalar;1000000;2;50;9,504456
scalar;1000000;3;50;5,295321
vector;1000000;3;50;1,712043
vector;1000000;4;50;3,307925
scalar;1000000;4;50;7,311854
scalar;1000000;5;50;7,723473
vector;1000000;5;50;2,310393
vector;1000000;6;50;2,689424
scalar;1000000;6;50;7,020757
scalar;1000000;7;50;6,787528
vector;1000000;7;50;1,318331
vector;1000000;8;50;1,636257
scalar;1000000;8;50;8,971347
scalar;1000000;9;50;6,495298
vector;1000000;9;50;1,568303
vector;1000000;10;50;2,405518
scalar;1000000;10;50;8,009951
scalar;2097152;1;23;13,061999
vector;2097152;1;23;4,122528
vector;2097152;2;23;6,841097
scalar;2097152;2;23;16,112754
scalar;2097152;3;23;18,269378
vector;2097152;3;23;4,486298
vector;2097152;4;23;4,927921
scalar;2097152;4;23;16,177878
scalar;2097152;5;23;10,436021
vector;2097152;5;23;4,954818
vector;2097152;6;23;6,425615
scalar;2097152;6;23;11,854148
scalar;2097152;7;23;11,262371
vector;2097152;7;23;3,433602
vector;2097152;8;23;3,728039
scalar;2097152;8;23;15,651038
scalar;2097152;9;23;14,870097
vector;2097152;9;23;5,138913
vector;2097152;10;23;5,490353
scalar;2097152;10;23;16,021831
scalar;4194304;1;11;29,755084
vector;4194304;1;11;9,420024
vector;4194304;2;11;10,375184
scalar;4194304;2;11;21,157560
scalar;4194304;3;11;21,207924
vector;4194304;3;11;7,711330
vector;4194304;4;11;7,194983
scalar;4194304;4;11;35,972172
scalar;4194304;5;11;28,566495
vector;4194304;5;11;10,747106
vector;4194304;6;11;13,207296
scalar;4194304;6;11;22,099787
scalar;4194304;7;11;29,698704
vector;4194304;7;11;9,756605
vector;4194304;8;11;9,922206
scalar;4194304;8;11;30,321668
scalar;4194304;9;11;21,030526
vector;4194304;9;11;11,938833
vector;4194304;10;11;10,068956
scalar;4194304;10;11;22,124263
scalar;8388608;1;5;45,704498
vector;8388608;1;5;27,351694
vector;8388608;2;5;26,753742
scalar;8388608;2;5;46,831511
scalar;8388608;3;5;57,901356
vector;8388608;3;5;13,836114
vector;8388608;4;5;19,359167
scalar;8388608;4;5;46,628028
scalar;8388608;5;5;43,908900
vector;8388608;5;5;18,793809
vector;8388608;6;5;20,997248
scalar;8388608;6;5;44,538762
scalar;8388608;7;5;61,848735
vector;8388608;7;5;19,655609
vector;8388608;8;5;36,255627
scalar;8388608;8;5;53,814024
scalar;8388608;9;5;41,589146
vector;8388608;9;5;14,964514
vector;8388608;10;5;15,078069
scalar;8388608;10;5;42,268326
scalar;10000000;1;5;67,121958
vector;10000000;1;5;23,193504
vector;10000000;2;5;38,880518
scalar;10000000;2;5;59,722231
scalar;10000000;3;5;69,858673
vector;10000000;3;5;17,508065
vector;10000000;4;5;36,922411
scalar;10000000;4;5;56,003276
scalar;10000000;5;5;66,826515
vector;10000000;5;5;27,131796
vector;10000000;6;5;29,948530
scalar;10000000;6;5;74,434024
scalar;10000000;7;5;60,376630
vector;10000000;7;5;20,901090
vector;10000000;8;5;37,506186
scalar;10000000;8;5;50,319814
scalar;10000000;9;5;76,519595
vector;10000000;9;5;24,990068
vector;10000000;10;5;37,087824
scalar;10000000;10;5;65,702978
